timestr I2C_SuccessRate
8538032229 0.83
8545225904 0.82
8552444319 0.79
8559661460 0.87
8566891776 0.86
8574079292 0.84
8581285968 0.88
8588489751 0.8
8595700601 0.83
8602910539 0.86
8610125139 0.86
8617322232 0.81
8624527758 0.85
8631734447 0.82
8638960305 0.81
8646160453 0.74
8653321995 0.77
8660530344 0.88
8667741967 0.75
8674948080 0.81
8682165375 0.92
8689376597 0.93
8696565875 0.88
8703796231 0.79
8711015844 0.87
8718223252 0.87
8725430003 0.79
8732623362 0.84
8739800817 0.8
8747010762 0.79
8754208404 0.8
8761415828 0.82
8768626297 0.87
8775836837 0.84
8783050664 0.82
8790278388 0.8
8797460724 0.88
8804679437 0.84
8811869977 0.84
8819081381 0.81
8826292056 0.85
8833508416 0.89
8840712058 0.79
8847927535 0.87
8855116686 0.82
8862316209 0.79
8869517245 0.84
8876737298 0.89
8883942008 0.88
8891156628 0.84
8898377982 0.84
8905593449 0.86
8912784905 0.71
8919965664 0.78
8927135296 0.77
8934322830 0.75
8941521449 0.82
8948733051 0.83
8955940512 0.87
8963126838 0.83
8970349208 0.8
8977566046 0.79
8984776904 0.83
8991987535 0.86
8999201279 0.82
9006412517 0.78
9013468468 0.65
9020487374 0.72
9027686771 0.83
9034901359 0.85
9042096839 0.88
9049290849 0.84
9056506638 0.86
9063680361 0.86
9070861214 0.86
9078068535 0.8
9085261229 0.84
9092465666 0.82
9099650372 0.76
9106858047 0.86
9114082308 0.85
9121287716 0.83
9128501054 0.94
9135713600 0.82
9142892667 0.81
9150082396 0.85
9157247687 0.82
9164468043 0.81
9171679275 0.85
9178856701 0.77
9186065078 0.78
9193268812 0.88
9200489009 0.82
9207668337 0.81
9214862681 0.79
9222070352 0.87
9229269478 0.83
9236476993 0.84
9243692282 0.77
9250856757 0.75
9258042837 0.75
9265255220 0.84
9272455657 0.83
9279649057 0.82
9286864312 0.76
9294067078 0.82
9301284752 0.83
9308491513 0.8
9315695991 0.82
9322862611 0.8
9330080029 0.87
9337267721 0.75
9344473047 0.8
9351680816 0.82
9358888899 0.85
9366098234 0.81
9373314618 0.86
9380527146 0.76
9387727762 0.82
9394924078 0.9
9402131603 0.81
9409333382 0.84
9416542078 0.86
9423735149 0.8
9430948618 0.86
9438161231 0.8
9445362439 0.82
9452584212 0.82
9459761210 0.88
9466956809 0.83
9474146146 0.82
9481353671 0.8
9488571991 0.85
