timestr I2C_SuccessRate
5135861023 0.28
5142033255 0.17
5148280504 0.28
5154695236 0.32
5160938418 0.29
5167449960 0.42
5173749960 0.34
5180055112 0.32
5186209621 0.2
5192611263 0.41
5198855105 0.26
5205229363 0.32
5211543239 0.33
5217771191 0.26
5224087243 0.26
5230316720 0.21
5236657723 0.3
5242979566 0.33
5249217169 0.29
5255579332 0.32
5261925352 0.32
5268316000 0.32
5274638719 0.35
5280918796 0.34
5287159874 0.29
5293486887 0.31
5299715162 0.33
5305985329 0.3
5312297426 0.32
5318594783 0.37
5324936470 0.32
5331285504 0.31
5337706351 0.37
5344014327 0.31
5350348248 0.31
5356602939 0.29
5362925655 0.37
5369256659 0.36
5375442572 0.25
5381728721 0.25
5388089807 0.39
5394413175 0.34
5400796845 0.34
5407105241 0.32
5413466231 0.33
5419736352 0.3
5425886481 0.2
5432192352 0.32
5438511268 0.36
5444903629 0.35
5451270111 0.35
5457583964 0.3
5463852112 0.28
5470231328 0.34
5476572265 0.31
5482811962 0.32
5488989871 0.21
5495203430 0.29
5501478712 0.3
5507840307 0.34
5514184959 0.37
5520435465 0.28
5526632504 0.22
5532961575 0.29
5539222807 0.3
5545550720 0.31
5551955791 0.35
5558128351 0.27
5564535567 0.35
5570692266 0.26
5577061834 0.32
5583357180 0.35
5589585482 0.23
5596051243 0.4
5602312362 0.35
5608470899 0.22
5614835573 0.33
5621068861 0.26
5627368111 0.32
5633828049 0.35
5640066327 0.25
5646383242 0.31
5652658352 0.25
5658923568 0.3
5665230124 0.27
5671519270 0.3
5677834504 0.31
5683990418 0.22
5690265667 0.33
5696543689 0.34
5702803646 0.28
5709126719 0.29
5715413087 0.3
5721669175 0.29
5727967567 0.33
5734193830 0.29
5740526958 0.32
5746810959 0.27
5753017152 0.3
5759400808 0.39
5765739488 0.32
5772043550 0.28
5778208243 0.26
5784565115 0.34
5790844656 0.34
5797123037 0.26
5803421190 0.27
5809583112 0.22
5815927174 0.36
5822343024 0.36
5828586989 0.28
5834948427 0.31
5841126960 0.22
5847457264 0.29
5853683655 0.26
5859976658 0.29
5866352413 0.34
5872502808 0.24
5878585273 0.15
5884956203 0.32
5891233089 0.33
5897674655 0.38
5904118481 0.4
5910347037 0.28
5916672969 0.35
5922990965 0.37
5929288113 0.24
5935627507 0.37
5942072960 0.39
5948403258 0.34
5954510796 0.24
5960888938 0.37
5967169991 0.29
5973364026 0.25
5979662473 0.3
5985967417 0.31
5992288808 0.34
5998686812 0.36
6004990719 0.25
6011226808 0.27
6017604482 0.38
6024032490 0.34
6030280959 0.28
6036515351 0.27
6042852746 0.32
6049121809 0.28
6055445307 0.27
6061658350 0.29
6068082939 0.42
6074498481 0.33
6080840263 0.31
6087145266 0.27
6093350414 0.21
6099554959 0.3
6105852234 0.29
6112322223 0.4
6118698938 0.33
6124767818 0.19
6131062310 0.3
6137459656 0.35
6143849656 0.39
6150224566 0.36
6156586414 0.32
6162882498 0.28
6169248111 0.31
6175542023 0.35
6181813889 0.31
6188124023 0.34
6194458039 0.34
6200709567 0.25
6207000741 0.34
6213486257 0.42
6219693959 0.26
6225935176 0.26
6232277628 0.38
6238703217 0.37
6245015808 0.34
6251279722 0.32
6257650421 0.34
6263884492 0.26
6270189144 0.31
6276472720 0.28
6282755024 0.29
6288971056 0.28
6295112506 0.23
6301430668 0.35
6307817404 0.35
6313941932 0.29
6320252808 0.33
6326565112 0.32
6332876504 0.34
6339229809 0.33
6345667264 0.4
6352006872 0.31
6358263982 0.3
6364713492 0.41
6371097111 0.35
6377436872 0.26
6383751264 0.31
6390053418 0.36
6396285353 0.26
6402627176 0.32
6408944426 0.33
6415308510 0.36
6421584504 0.36
6427749651 0.27
6434163174 0.42
6440456016 0.32
6446840720 0.37
6453156873 0.34
6459491876 0.35
6465794808 0.32
6472066960 0.34
6478429570 0.35
6484691658 0.28
6490935635 0.28
6497159961 0.29
6503473719 0.33
6509745722 0.27
6516015110 0.28
6522239177 0.3
6528509116 0.28
6534820209 0.26
6540956793 0.26
6547271872 0.34
6553489264 0.31
6559623966 0.25
6565862503 0.3
6572229959 0.3
6578558025 0.31
6584799503 0.28
6591094256 0.26
6597486610 0.34
6603720811 0.26
6609971808 0.28
6616188327 0.28
6622491235 0.29
6628821646 0.32
6635127511 0.3
6641498024 0.34
6647880655 0.35
6654233430 0.34
