time coil
1.63648e-05 0
1.63712e-05 -3.14961
1.63776e-05 -1.5748
1.6384e-05 0
1.63904e-05 -3.14961
1.63968e-05 0
1.64032e-05 -1.5748
1.64096e-05 -1.5748
1.6416e-05 0
1.64224e-05 0
1.64288e-05 -1.5748
1.64352e-05 0
1.64416e-05 -1.5748
1.6448e-05 -1.5748
1.64544e-05 -3.14961
1.64608e-05 1.5748
1.64672e-05 -1.5748
1.64736e-05 -3.14961
1.648e-05 1.5748
1.64864e-05 -1.5748
1.64928e-05 -1.5748
1.64992e-05 1.5748
1.65056e-05 -1.5748
1.6512e-05 -1.5748
1.65184e-05 0
1.65248e-05 -1.5748
1.65312e-05 -1.5748
1.65376e-05 -1.5748
1.6544e-05 0
1.65504e-05 -1.5748
1.65568e-05 0
1.65632e-05 -1.5748
1.65696e-05 0
1.6576e-05 -1.5748
1.65824e-05 -1.5748
1.65888e-05 -3.14961
1.65952e-05 -1.5748
1.66016e-05 -1.5748
1.6608e-05 -1.5748
1.66144e-05 -1.5748
1.66208e-05 0
1.66272e-05 -1.5748
1.66336e-05 -1.5748
1.664e-05 0
1.66464e-05 -1.5748
1.66528e-05 -1.5748
1.66592e-05 0
1.66656e-05 -1.5748
1.6672e-05 0
1.66784e-05 0
1.66848e-05 0
1.66912e-05 0
1.66976e-05 -1.5748
1.6704e-05 -1.5748
1.67104e-05 -1.5748
1.67168e-05 0
1.67232e-05 -1.5748
1.67296e-05 -1.5748
1.6736e-05 -1.5748
1.67424e-05 -1.5748
1.67488e-05 0
1.67552e-05 -1.5748
1.67616e-05 0
1.6768e-05 0
1.67744e-05 -3.14961
1.67808e-05 0
1.67872e-05 -1.5748
1.67936e-05 -1.5748
1.68e-05 0
1.68064e-05 -1.5748
1.68128e-05 -1.5748
1.68192e-05 1.5748
1.68256e-05 -1.5748
1.6832e-05 -1.5748
1.68384e-05 0
1.68448e-05 -1.5748
1.68512e-05 0
1.68576e-05 0
1.6864e-05 -1.5748
1.68704e-05 0
1.68768e-05 1.5748
1.68832e-05 -3.14961
1.68896e-05 -1.5748
1.6896e-05 -1.5748
1.69024e-05 -1.5748
1.69088e-05 -1.5748
1.69152e-05 -1.5748
1.69216e-05 -1.5748
1.6928e-05 -1.5748
1.69344e-05 -1.5748
1.69408e-05 0
1.69472e-05 -3.14961
1.69536e-05 -1.5748
1.696e-05 -1.5748
1.69664e-05 -1.5748
1.69728e-05 0
1.69792e-05 0
1.69856e-05 -1.5748
1.6992e-05 -3.14961
1.69984e-05 0
1.70048e-05 -1.5748
1.70112e-05 -3.14961
1.70176e-05 1.5748
1.7024e-05 -1.5748
1.70304e-05 -3.14961
1.70368e-05 1.5748
1.70432e-05 -3.14961
1.70496e-05 -3.14961
1.7056e-05 1.5748
1.70624e-05 -3.14961
1.70688e-05 -1.5748
1.70752e-05 0
1.70816e-05 -1.5748
1.7088e-05 -3.14961
1.70944e-05 0
1.71008e-05 -1.5748
1.71072e-05 -1.5748
1.71136e-05 -1.5748
1.712e-05 0
1.71264e-05 -4.72441
1.71328e-05 -1.5748
1.71392e-05 0
1.71456e-05 -3.14961
1.7152e-05 0
1.71584e-05 1.5748
1.71648e-05 -3.14961
1.71712e-05 0
1.71776e-05 0
1.7184e-05 -3.14961
1.71904e-05 -1.5748
1.71968e-05 -1.5748
1.72032e-05 -1.5748
1.72096e-05 -3.14961
1.7216e-05 -1.5748
1.72224e-05 0
1.72288e-05 -3.14961
1.72352e-05 -1.5748
1.72416e-05 0
1.7248e-05 -4.72441
1.72544e-05 -1.5748
1.72608e-05 -1.5748
1.72672e-05 -3.14961
1.72736e-05 0
1.728e-05 0
1.72864e-05 -1.5748
1.72928e-05 -1.5748
1.72992e-05 0
1.73056e-05 -1.5748
1.7312e-05 -3.14961
1.73184e-05 0
1.73248e-05 -3.14961
1.73312e-05 -3.14961
1.73376e-05 1.5748
1.7344e-05 -3.14961
1.73504e-05 0
1.73568e-05 1.5748
1.73632e-05 -1.5748
1.73696e-05 -1.5748
1.7376e-05 0
1.73824e-05 -1.5748
1.73888e-05 -1.5748
1.73952e-05 0
1.74016e-05 -1.5748
1.7408e-05 -1.5748
1.74144e-05 -1.5748
1.74208e-05 0
1.74272e-05 -1.5748
1.74336e-05 0
1.744e-05 1.5748
1.74464e-05 -1.5748
1.74528e-05 1.5748
1.74592e-05 1.5748
1.74656e-05 -3.14961
1.7472e-05 0
1.74784e-05 1.5748
1.74848e-05 -3.14961
1.74912e-05 1.5748
1.74976e-05 -1.5748
1.7504e-05 -1.5748
1.75104e-05 0
1.75168e-05 -1.5748
1.75232e-05 -1.5748
1.75296e-05 1.5748
1.7536e-05 -1.5748
1.75424e-05 -1.5748
1.75488e-05 0
1.75552e-05 0
1.75616e-05 -1.5748
1.7568e-05 -1.5748
1.75744e-05 1.5748
1.75808e-05 -3.14961
1.75872e-05 0
1.75936e-05 -1.5748
1.76e-05 -3.14961
1.76064e-05 0
1.76128e-05 -1.5748
1.76192e-05 -1.5748
1.76256e-05 -3.14961
1.7632e-05 -1.5748
1.76384e-05 0
1.76448e-05 -3.14961
1.76512e-05 -1.5748
1.76576e-05 -1.5748
1.7664e-05 -1.5748
1.76704e-05 -1.5748
1.76768e-05 -1.5748
1.76832e-05 -1.5748
1.76896e-05 0
1.7696e-05 -1.5748
1.77024e-05 -1.5748
1.77088e-05 -1.5748
1.77152e-05 -1.5748
1.77216e-05 -1.5748
1.7728e-05 -3.14961
1.77344e-05 0
1.77408e-05 -3.14961
1.77472e-05 -1.5748
1.77536e-05 0
1.776e-05 -1.5748
1.77664e-05 -1.5748
1.77728e-05 0
1.77792e-05 -1.5748
1.77856e-05 -1.5748
1.7792e-05 0
1.77984e-05 -1.5748
1.78048e-05 -3.14961
1.78112e-05 0
1.78176e-05 -1.5748
1.7824e-05 -1.5748
1.78304e-05 0
1.78368e-05 -1.5748
1.78432e-05 -1.5748
1.78496e-05 -1.5748
1.7856e-05 0
1.78624e-05 -3.14961
1.78688e-05 -1.5748
1.78752e-05 -1.5748
1.78816e-05 -1.5748
1.7888e-05 -1.5748
1.78944e-05 -1.5748
1.79008e-05 -3.14961
1.79072e-05 -1.5748
1.79136e-05 -1.5748
1.792e-05 -1.5748
